Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2077088,GSE70245,SAMN03792848,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077089,GSE70245,SAMN03792849,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077090,GSE70245,SAMN03792850,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077091,GSE70245,SAMN03792851,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077092,GSE70245,SAMN03792852,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077093,GSE70245,SAMN03792853,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2
SRR2077094,GSE70245,SAMN03792854,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077095,GSE70245,SAMN03792855,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077096,GSE70245,SAMN03792856,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077097,GSE70245,SAMN03792857,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
