	Gene name	Gene % GC content
ENSMUSG00000000001	Gnai3	41.65
ENSMUSG00000000003	Pbsn	38.23
ENSMUSG00000000028	Cdc45	46.23
ENSMUSG00000000031	H19	55.83
ENSMUSG00000000037	Scml2	39.03
ENSMUSG00000000049	Apoh	43.83
ENSMUSG00000000056	Narf	46.96
ENSMUSG00000000058	Cav2	39.77
ENSMUSG00000000078	Klf6	43.44
ENSMUSG00000000085	Scmh1	39.89
ENSMUSG00000000088	Cox5a	42.75
ENSMUSG00000000093	Tbx2	55.36
ENSMUSG00000000094	Tbx4	50.74
ENSMUSG00000000103	Zfy2	36.56
ENSMUSG00000000120	Ngfr	53.62
ENSMUSG00000000125	Wnt3	52.32
ENSMUSG00000000126	Wnt9a	52.53
ENSMUSG00000000127	Fer	40.27
ENSMUSG00000000131	Xpo6	43.53
ENSMUSG00000000134	Tfe3	51.75
ENSMUSG00000000142	Axin2	53.94
ENSMUSG00000000148	Brat1	51.56
ENSMUSG00000000149	Gna12	47.49
ENSMUSG00000000154	Slc22a18	52.01
ENSMUSG00000000157	Itgb2l	49.83
ENSMUSG00000000159	Igsf5	44.82
ENSMUSG00000000167	Pih1d2	43.52
ENSMUSG00000000168	Dlat	44.1
ENSMUSG00000000171	Sdhd	45.09
ENSMUSG00000000182	Fgf23	46.08
ENSMUSG00000000183	Fgf6	49.34
ENSMUSG00000000184	Ccnd2	49.26
ENSMUSG00000000194	Gpr107	49.01
ENSMUSG00000000197	Nalcn	38.67
ENSMUSG00000000202	Btbd17	56.02
ENSMUSG00000000204	Slfn4	43.3
ENSMUSG00000000214	Th	51.59
ENSMUSG00000000215	Ins2	42.6
ENSMUSG00000000216	Scnn1g	45.71
ENSMUSG00000000223	Drp2	44.54
ENSMUSG00000000244	Tspan32	53.07
ENSMUSG00000000247	Lhx2	50.0
ENSMUSG00000000248	Clec2g	41.63
ENSMUSG00000000253	Gmpr	48.23
ENSMUSG00000000263	Glra1	45.7
ENSMUSG00000000266	Mid2	40.18
ENSMUSG00000000275	Trim25	48.45
ENSMUSG00000000276	Dgke	43.85
ENSMUSG00000000278	Scpep1	47.22
ENSMUSG00000000282	Mnt	56.49
ENSMUSG00000000290	Itgb2	50.26
ENSMUSG00000000295	Hddc2	42.09
ENSMUSG00000000296	Tpd52l1	40.19
ENSMUSG00000000301	Pemt	49.74
ENSMUSG00000000303	Cdh1	47.03
ENSMUSG00000000305	Cdh4	49.53
ENSMUSG00000000308	Ckmt1	48.09
ENSMUSG00000000317	Bcl6b	51.38
ENSMUSG00000000318	Clec10a	47.28
ENSMUSG00000000320	Alox12	48.86
ENSMUSG00000000325		
ENSMUSG00000000326	Comt	48.68
ENSMUSG00000000339	Rtca	43.09
ENSMUSG00000000340	Dbt	44.05
ENSMUSG00000000346	Dazap2	50.58
ENSMUSG00000000355	Mcts1	37.89
ENSMUSG00000000359	Rem1	52.13
ENSMUSG00000000365	Rnf17	38.66
ENSMUSG00000000374	Trappc10	48.02
ENSMUSG00000000378	Ccm2	47.75
ENSMUSG00000000381	Wap	52.44
ENSMUSG00000000384	Tbrg4	51.38
ENSMUSG00000000385	Tmprss2	46.44
ENSMUSG00000000386	Mx1	46.16
ENSMUSG00000000392	Fap	38.39
ENSMUSG00000000394	Gcg	37.47
ENSMUSG00000000399	Ndufa9	45.75
ENSMUSG00000000402	Egfl6	42.54
ENSMUSG00000000409	Lck	48.13
ENSMUSG00000000411	Tssk3	52.81
ENSMUSG00000000416	Cttnbp2	40.7
ENSMUSG00000000420	Galnt1	40.82
ENSMUSG00000000435	Myf5	43.32
ENSMUSG00000000439	Mkrn2	47.04
ENSMUSG00000000440	Pparg	39.51
ENSMUSG00000000441	Raf1	42.75
ENSMUSG00000000486	Septin1	48.19
ENSMUSG00000000489	Pdgfb	55.39
ENSMUSG00000000530	Acvrl1	52.3
ENSMUSG00000000531	Tamalin	55.63
ENSMUSG00000000532	Acvr1b	49.44
ENSMUSG00000000538	Tom1l2	46.54
ENSMUSG00000000544	Gpa33	48.91
ENSMUSG00000000552	Zfp385a	50.68
ENSMUSG00000000555	Itga5	50.81
ENSMUSG00000000560	Gabra2	36.51
ENSMUSG00000000561	Wdr77	44.83
ENSMUSG00000000562	Adora3	45.35
ENSMUSG00000000563	Atp5pb	40.23
ENSMUSG00000000567	Sox9	50.95
ENSMUSG00000000568	Hnrnpd	38.55
ENSMUSG00000000579	Dynlt1c	47.56
ENSMUSG00000000581	C1d	37.25
ENSMUSG00000000594	Gm2a	48.96
ENSMUSG00000000600	Krit1	36.51
ENSMUSG00000000605	Clcn4	47.23
ENSMUSG00000000606	Vmn2r88	35.79
ENSMUSG00000000617	Grm6	50.24
ENSMUSG00000000627	Sema4f	47.76
ENSMUSG00000000628	Hk2	49.08
ENSMUSG00000000631	Myo18a	51.78
ENSMUSG00000000632	Sez6	51.55
ENSMUSG00000000673	Haao	50.92
ENSMUSG00000000682	Cd52	49.53
ENSMUSG00000000686	Abhd15	43.32
ENSMUSG00000000690	Hoxb6	52.14
ENSMUSG00000000693	Loxl3	49.9
ENSMUSG00000000701	Tcl1b5	49.5
ENSMUSG00000000706	Btn1a1	45.26
ENSMUSG00000000708	Kat2b	43.46
ENSMUSG00000000711	Rab5b	44.42
ENSMUSG00000000724	Cryba1	42.74
ENSMUSG00000000730	Dnmt3l	50.17
ENSMUSG00000000731	Aire	52.02
ENSMUSG00000000732	Icosl	49.9
