Gene stable ID	Gene % GC content	Gene name
ENSMUSG00000064336	30.88	mt-Tf
ENSMUSG00000064337	35.81	mt-Rnr1
ENSMUSG00000064338	39.13	mt-Tv
ENSMUSG00000064339	35.40	mt-Rnr2
ENSMUSG00000064340	44.00	mt-Tl1
ENSMUSG00000064341	37.62	mt-Nd1
ENSMUSG00000064342	27.54	mt-Ti
ENSMUSG00000064343	36.62	mt-Tq
ENSMUSG00000064344	44.93	mt-Tm
ENSMUSG00000064345	35.74	mt-Nd2
ENSMUSG00000064346	40.30	mt-Tw
ENSMUSG00000064347	33.33	mt-Ta
ENSMUSG00000064348	33.80	mt-Tn
ENSMUSG00000064349	36.36	mt-Tc
ENSMUSG00000064350	34.33	mt-Ty
ENSMUSG00000064351	39.87	mt-Co1
ENSMUSG00000064352	37.68	mt-Ts1
ENSMUSG00000064353	17.14	mt-Td
ENSMUSG00000064354	38.60	mt-Co2
ENSMUSG00000064355	33.85	mt-Tk
ENSMUSG00000064356	31.86	mt-Atp8
ENSMUSG00000064357	35.98	mt-Atp6
ENSMUSG00000064358	38.90	mt-Co3
ENSMUSG00000064359	30.88	mt-Tg
ENSMUSG00000064360	33.05	mt-Nd3
ENSMUSG00000064361	22.06	mt-Tr
ENSMUSG00000065947	41.08	mt-Nd4l
ENSMUSG00000064363	35.63	mt-Nd4
ENSMUSG00000064364	31.34	mt-Th
ENSMUSG00000064365	32.20	mt-Ts2
ENSMUSG00000064366	30.99	mt-Tl2
ENSMUSG00000064367	37.12	mt-Nd5
ENSMUSG00000064368	34.10	mt-Nd6
ENSMUSG00000064369	34.78	mt-Te
ENSMUSG00000064370	39.07	mt-Cytb
ENSMUSG00000064371	34.33	mt-Tt
ENSMUSG00000064372	44.78	mt-Tp
ENSMUSG00002075400	44.90	
ENSMUSG00002074970	50.50	
ENSMUSG00000095019	43.03	
ENSMUSG00000096776	43.63	Vmn1r186
ENSMUSG00000094303	44.04	
ENSMUSG00000094722	43.80	
ENSMUSG00000095666	43.90	
ENSMUSG00000094741	45.92	
ENSMUSG00000079222	45.73	
ENSMUSG00000094836	40.81	
ENSMUSG00000095742	61.95	
ENSMUSG00000095041	52.45	
ENSMUSG00000094915	40.83	
ENSMUSG00002075729	50.00	
ENSMUSG00000079808	46.70	
ENSMUSG00000074720	41.59	
ENSMUSG00000096244	43.30	
ENSMUSG00000096236	46.01	
ENSMUSG00000095728	46.13	
ENSMUSG00000094383	44.32	
ENSMUSG00000096680	44.29	
ENSMUSG00000094874	47.78	
ENSMUSG00000094337	43.84	
ENSMUSG00000096756	44.00	
ENSMUSG00000095076	43.97	
ENSMUSG00000095500	43.91	
ENSMUSG00000095505	41.87	
ENSMUSG00000094474	43.89	
ENSMUSG00000095450	50.27	
ENSMUSG00000095570	44.26	
ENSMUSG00000094728	50.27	
ENSMUSG00000094791	41.47	
ENSMUSG00000096728	46.44	
